text,label
The friends are watching a movie.,Non-Disaster
The market is underwater.,Flood
The wall is vibrating.,Earthquake
The building is collapsing.,Earthquake
The town is filled with water.,Flood
The farm is affected by heavy rain.,Flood
The child has chest pain.,Medical
The office is filled with smoke.,Fire
The factory is burning.,Fire
The electric poles are hit by strong winds.,Storm
The house is affected by heavy rain.,Flood
The farm is underwater.,Flood
The warehouse caught fire.,Fire
The we are going to college.,Non-Disaster
The city are facing heavy rain.,Storm
The houses are destroyed by winds.,Storm
The hospital is filled with water.,Flood
The house is underwater.,Flood
The houses are hit by strong winds.,Storm
The electric poles are destroyed by winds.,Storm
The houses are facing heavy rain.,Storm
The shop has heavy smoke.,Fire
The office caught fire.,Fire
The road is flooded.,Flood
The farm has overflowing water.,Flood
The house has heavy smoke.,Fire
The town is affected by heavy rain.,Flood
The house is vibrating.,Earthquake
The hospital is filled with smoke.,Fire
The mother has chest pain.,Medical
The trees are affected by cyclone.,Storm
The house is shaking.,Earthquake
The village is underwater.,Flood
The village is flooded.,Flood
The woman cannot breathe.,Medical
The hospital is burning.,Fire
The town is flooded.,Flood
The village has overflowing water.,Flood
The ground is vibrating.,Earthquake
The roads are facing heavy rain.,Storm
The school is filled with water.,Flood
The family are watching a movie.,Non-Disaster
The office is vibrating.,Earthquake
The friends are studying.,Non-Disaster
The we are going shopping.,Non-Disaster
The father is bleeding.,Medical
The bridge is underwater.,Flood
The woman collapsed suddenly.,Medical
The woman has chest pain.,Medical
The friends are playing cricket.,Non-Disaster
The house is filled with water.,Flood
The street is affected by heavy rain.,Flood
The students are going to college.,Non-Disaster
The building is burning.,Fire
The building is vibrating.,Earthquake
The kitchen has flames everywhere.,Fire
The bridge is filled with water.,Flood
The farm is filled with water.,Flood
The houses are affected by cyclone.,Storm
The kitchen is filled with smoke.,Fire
The village is affected by heavy rain.,Flood
The house is collapsing.,Earthquake
The trees are damaged by storm.,Storm
The shop is filled with smoke.,Fire
The street is filled with water.,Flood
The house is burning.,Fire
The houses are damaged by storm.,Storm
The shop has flames everywhere.,Fire
The shop is burning.,Fire
The wall is damaged.,Earthquake
The man cannot breathe.,Medical
The woman needs an ambulance.,Medical
The students are cooking dinner.,Non-Disaster
The house caught fire.,Fire
The hospital has heavy smoke.,Fire
The town has overflowing water.,Flood
The factory caught fire.,Fire
The school is underwater.,Flood
The market is filled with water.,Flood
The kitchen caught fire.,Fire
The hospital is affected by heavy rain.,Flood
The ground is damaged.,Earthquake
The village are affected by cyclone.,Storm
The hospital is underwater.,Flood
The house has cracks.,Earthquake
The city are damaged by storm.,Storm
The roads are damaged by storm.,Storm
The ground has cracks.,Earthquake
The village is filled with water.,Flood
The trees are facing heavy rain.,Storm
The village are destroyed by winds.,Storm
The hospital caught fire.,Fire
The family are going shopping.,Non-Disaster
The students are studying.,Non-Disaster
The office is on fire.,Fire
The hospital has overflowing water.,Flood
The friends are going to college.,Non-Disaster
The school is filled with smoke.,Fire
The I are going to college.,Non-Disaster
The hospital has flames everywhere.,Fire
The market has overflowing water.,Flood
The building has heavy smoke.,Fire
The warehouse is burning.,Fire
The building has flames everywhere.,Fire
The apartment has flames everywhere.,Fire
The man is bleeding.,Medical
The building caught fire.,Fire
The roads are hit by strong winds.,Storm
The school has overflowing water.,Flood
The we are playing cricket.,Non-Disaster
The electric poles are affected by cyclone.,Storm
The trees are destroyed by winds.,Storm
The warehouse has heavy smoke.,Fire
The kitchen is on fire.,Fire
The mother cannot breathe.,Medical
The house is damaged.,Earthquake
The bridge is flooded.,Flood
The apartment has heavy smoke.,Fire
The building is on fire.,Fire
The road is filled with water.,Flood
The street is underwater.,Flood
The patient collapsed suddenly.,Medical
The woman is bleeding.,Medical
The kitchen is burning.,Fire
The shop is on fire.,Fire
The child is unconscious.,Medical
The road is affected by heavy rain.,Flood
The city are destroyed by winds.,Storm
The street has overflowing water.,Flood
The school is on fire.,Fire
The hospital is on fire.,Fire
The factory is filled with smoke.,Fire
The office is burning.,Fire
The apartment is on fire.,Fire
