text,label
emergency! flood water entered our bedroom,Flood
rain water entering house save us,Flood
emergency electric poles have fallen save us,Storm
trees uprooted everywhere save us,Storm
our belongings are floating save us,Flood
lightning struck nearby please,Storm
urgent lift trapped after collapse,Building Collapse
madam help us landslide please,Landslide
help child touched live wire,Electrical Hazard
people feeling dizzy because of gas now,Gas Leak
our shop is burning,Fire
need help immediately! earthquake quickly,Earthquake
fast need rescue after landslide,Landslide
electric board caught fir,Fire
urgent gas smell becoming stronger,Gas Leak
bro medicine overdose please,Medical
bridge damaged after earth quack,Earthquake
fast house flooded during cyclone quickly,Storm
fast! my home is burning,Fire
quick building collapsedd after heavy rain,Building Collapse
cannot escape because of smkoe,Fire
wire caught fie,Fire
balcony fall downd,Building Collapse
save me! cyclone approaching save me,Storm
bridge collapsed due to flood save us,Flood
save me! gas leak in the kitchen please,Gas Leak
gas leakage detected,Gas Leak
room is filled with smke,Fire
need help immediately! my railway station is burning,Fire
power cable broken fast,Electrical Hazard
we are trapped because of flod,Flood
emergency hailstorm damaged vehicles save me,Storm
urgent! electric shock,Electrical Hazard
help! electric shock,Electrical Hazard
please medicine overdose,Medical
multiple vehicles collided please,Road Accident
fast! current leakage,Electrical Hazard
heavy smoke from apartment,Fire
quick emergency! earthquake,Earthquake
fast! landslide,Landslide
warehouse is completely floodsed immediately,Flood
bro someone help! gas leak in the kitchen,Gas Leak
urgent patient lost consciousness,Medical
madam gas regulator is leaking,Gas Leak
gas emergency quickly,Gas Leak
bro cars damaged by trees save me,Storm
cannot go outside because of flood fast,Flood
please send rescue teams quickly,Earthquake
please! electric shock,Electrical Hazard
help gas regulator is leaking,Gas Leak
quick wire caught firee quickly,Fire
bro wire caught fie,Fire
urgent gaas detected in basement please,Gas Leak
urgent large rocks on road,Landslide
gas leaking continuously,Gas Leak
please electric panel smoking,Electrical Hazard
soil sliding downhill save us,Landslide
quick power outage after explosion immediately,Electrical Hazard
fast person had a seizure fast,Medical
emergency many vehicles stranded,Landslide
dangerous gaas smell,Gas Leak
petrol bunk caught fir quickly,Fire
quick kitchen filled with gas smell,Gas Leak
help accident due to fog,Road Accident
madam hospital ward caught fire,Fire
quick entire area under water,Flood
industrial gass leak,Gas Leak
quick patient is bleeding heavily,Medical
emergency shopping mall caught fire,Fire
urgent kitchen full of smoke quickly,Fire
help flood everywhere,Flood
our building has building felld please,Building Collapse
quick kitchen caught fire,Fire
urgent please send emergency team,Gas Leak
pls bridge inaccessible save me,Landslide
factory is burning save us,Fire
fast staircase collapsed,Building Collapse
frie reached second floor,Fire
water entered first floor,Flood
fast electrical short circuit caused fie,Fire
please building damaged by wind,Storm
sir dangerous gas smell now,Gas Leak
building shaking badly now,Earthquake
passengers injured fast,Road Accident
fast dust everywhere after collapse,Building Collapse
children trapped inside burning house fast,Fire
huge flames in kitchen,Fire
urgent critical medical emergency,Medical
huge flames in college save me,Fire
help multiple injured people quickly,Medical
dangerous electric sparks save us,Electrical Hazard
house destroyed completely immediately,Building Collapse
transformer making loud noise fast,Electrical Hazard
pls need rescue after earthquake,Earthquake
urgent high speed winds everywhere,Storm
communication lost after heavy wind please,Storm
fast communication lost after storm,Storm
please everyone evacuated building,Earthquake
lift trapped after fall down quickly,Building Collapse
floor is vibrating please,Earthquake
urgent bike skid on road save us,Road Accident
difficulty in breathing,Medical
emergency people waiting for rescue,Flood
car fell into ditch,Road Accident
heavy rain and thunderstorm fast,Storm
madam garage is completely flooded,Flood
black smoke everywhere fast,Fire
madam live wire near school fast,Electrical Hazard
bro need immediate evacuation,Landslide
building tilted slightly immediately,Earthquake
bro bridge is underwater,Flood
plastic burning smell quickly,Fire
gaas is coming from the stove,Gas Leak
madam bridge partially building felld,Building Collapse
mudslide blocking road please,Landslide
fast it feels like an earthshake,Earthquake
bro cannot reach village,Landslide
school building caught frie,Fire
emergency trees buried in landslide,Landslide
power lines are down fast,Storm
sir strong earthquake felt,Earthquake
help! gass leak in the kitchen,Gas Leak
severe allergic reaction fast,Medical
urgent our house is shaking save us,Earthquake
sir houses collapsing due to landslide immediately,Landslide
please send rescue teams save me,Storm
bro road completely submerged,Flood
sir pole may fall,Electrical Hazard
passengers injured,Road Accident
cannot brethe properly,Medical
emergency need rescue after landslide,Landslide
please wire caught fire quickly,Fire
sir emergency landslide,Landslide
glass windows broke immediately,Earthquake
someone help! house collapsed,Building Collapse
quick earth moving continuously,Earthquake
fast cannot reach hospital because of flood,Flood
pls factory electrical accident quickly,Electrical Hazard
please our building has collapsed,Building Collapse
suspected gass cylinder failure,Gas Leak
road full of damaged vehicles please,Road Accident
staircase collapsedd save us,Building Collapse
bridge is underwater immediately,Flood
sir danger of complete collapse,Building Collapse
urgent many people are injured,Earthquake
pls soil sliding downhill please,Landslide
save trapped people please,Landslide
office building building felld,Building Collapse
quick several people injured,Road Accident
emergency house developed huge cracks,Earthquake
roads completely blocked fast,Storm
heavy rain with strong winds save me,Storm
touching gate gives shock immediately,Electrical Hazard
bro person hit by a car now,Road Accident
people waiting for rescue quickly,Flood
help bed caught fie,Fire
emergency suspected gaas cylinder failure,Gas Leak
quick cannot reach hospital because of floo save me,Flood
do not know where gas is leaking,Gas Leak
main entrance blocked by debris save me,Building Collapse
emergency staircase building felld,Building Collapse
curtains caught fire save us,Fire
urgent our colony is floded,Flood
danger due to exposed wire quickly,Electrical Hazard
need emergency shelter fast,Storm
serious head injury fast,Medical
emergency walls have huge cracks save me,Building Collapse
building may collapse save us,Earthquake
our building is unsafe,Building Collapse
please our house is under water,Flood
power lines are down,Storm
electrical accident occurred save me,Electrical Hazard
please danger of another landslide fast,Landslide
fast need immediate assistance,Gas Leak
fast please send patient sick team,Medical
emergency people trapped after storm,Storm
fast! medical emergency,Medical
madam cannot reach village,Landslide
lift trapped after collapse,Building Collapse
critical medical emergency now,Medical
madam electric panel smoking,Electrical Hazard
office building building felld now,Building Collapse
mudslide blocking road save us,Landslide
electrical short circuit caused firee,Fire
roof caught fire save me,Fire
help plastic burning smell,Fire
fast entire area under water,Flood
bro hill collapsing,Landslide
please storm damaged our house please,Storm
please building tilted slightly,Earthquake
stairs blocked by firee,Fire
person trapped under vehicle save us,Road Accident
shop caught fire,Fire
save us! landslide,Landslide
someone help! cyclone approaching,Storm
passengers injured save us,Road Accident
lights are swinging please,Earthquake
quick flying debris everywhere,Storm
save me! medical emergency,Medical
madam the whole area is shaking,Earthquake
building shaking and collapsing,Building Collapse
gaas leak near hospital fast,Gas Leak
soil sliding downhill quickly,Landslide
furniture shaking,Earthquake
generator caught fie,Electrical Hazard
shopping mall caught fir fast,Fire
gaas regulator is leaking quickly,Gas Leak
gas leaking from pipeline,Gas Leak
fast traffic stopped because of accident,Road Accident
bike skid on road save me,Road Accident
bridge collapsed due to floo,Flood
emergency electric poles inside flood water,Flood
help building shaking badly quickly,Earthquake
sewer water mixed with flod,Flood
madam gas smell everywhere,Gas Leak
furniture shaking save me,Earthquake
please old building collapsed,Building Collapse
fast river overflowed,Flood
office building shaking please,Earthquake
fast gas emergency,Gas Leak
please gas leak near hospital please,Gas Leak
madam cracks appeared on wall,Earthquake
family trapped in landslide please,Landslide
fast woman fainted suddenly save me,Medical
please school building collapsed,Building Collapse
emergency heavy smoke from school,Fire
elderly person collapsed save us,Medical
switchboard caught fire,Electrical Hazard
possible explosion due to gaas fast,Gas Leak
sir roof caught fire,Fire
help patient is not responding,Medical
help please! building collapsed,Building Collapse
urgent! cyclone approaching,Storm
many residents trapped save us,Building Collapse
save me! floods water entered our road,Flood
need rescue after cyclone,Storm
strong earthquake felt,Earthquake
emergency two cars crashed,Road Accident
petrol bunk caught fir,Fire
do not know where gaas is leaking now,Gas Leak
bro two cars crashed,Road Accident
cannot leave home because of storm,Storm
urgent building failure occurred,Building Collapse
people trapped under debris now,Building Collapse
need rescue after landslide immediately,Landslide
bro cylinder valve is leaking,Gas Leak
urgent cannot come out because building collapsed,Building Collapse
emergency doors are shaking violently now,Storm
burning smell from switchboard,Electrical Hazard
need ambulans urgently quickly,Medical
madam broken leg after fall,Medical
save us! need ambulnce save us,Medical
water reached waist level fast,Flood
patient unable to speak immediately,Medical
madam please help! gas leak in the kitchen,Gas Leak
bro dangerous gas smell,Gas Leak
sir power lines are down,Storm
office building collapsed fast,Building Collapse
fie in neighbour house,Fire
difficulty in breathing fast,Medical
emergency quick! house collapsedd,Building Collapse
black smoke everywhere quickly,Fire
madam people trapped inside car save me,Road Accident
gass leak in apartment save us,Gas Leak
help electric wire fell on vehicle,Electrical Hazard
building shaking and collapsing immediately,Building Collapse
communication lost after wind storm now,Storm
animals trapped in flood,Flood
fast! road accident,Road Accident
madam people stranded on rooftop,Flood
lift trapped after fall down,Building Collapse
madam our village is flooded,Flood
help the whole area is shaking,Earthquake
pls vehicle overturned,Road Accident
bro mudslide blocking road now,Landslide
help burn injuries need treatment,Medical
kitchen full of smok now,Fire
need rescue boat,Flood
fast need help immediately! gas leak in the kitchen,Gas Leak
fast aftershock happened,Earthquake
firee spreading quickly,Fire
mudslide blocking road immediately,Landslide
madam cupboard fell,Earthquake
save me! house collapsedd,Building Collapse
our building has collapsed,Building Collapse
hissing sound from gaas cylinder,Gas Leak
sir dangerous electric sparks,Electrical Hazard
bridge is underwater,Flood
ceiling collapsedd,Building Collapse
please bridge damaged after earthquake,Earthquake
quick smoke everywhere,Fire
madam help us landslide immediately,Landslide
urgent danger of another landslide save us,Landslide
help our colony is floodsed,Flood
switchboard caught firee,Electrical Hazard
pls continuous rain causing flod now,Flood
bro bike accident near the junction,Road Accident
electric board caught firee immediately,Fire
emergency lift trapped after collapse,Building Collapse
emergency gaas detected in basement,Gas Leak
madam gass cylinder exploded,Fire
doors are shaking violently immediately,Storm
pls houses damaged by cyclone,Storm
earth is moving save us,Earthquake
people waiting for rescue fast,Flood
hill collapsing,Landslide
help roads blocked by fallen trees,Storm
urgent ceiling is cracking,Earthquake
flammable gaas leaking,Gas Leak
ceiling collapsed fast,Building Collapse
bro save me! medical emergency,Medical
bro thick smkoe coming out,Fire
building collapsed after earth moving save me,Building Collapse
cyclone warning issued,Storm
sir bike accident near the junction,Road Accident
cars damaged by trees save me,Storm
save trapped people quickly,Landslide
need immediate assistance,Gas Leak
please help! house collapsedd immediately,Building Collapse
sir bridge collapsed due to flood,Flood
bro restaurant kitchen caught fire,Fire
gas leak near restaurant immediately,Gas Leak
help please help! fir in my street save me,Fire
hailwind storm damaged vehicles please,Storm
fast electrical disaster,Electrical Hazard
concrete fell from roof,Building Collapse
bro house floodsed during cyclone,Storm
dangerous electric sparks,Electrical Hazard
sir need food and water,Flood
sir our house is shaking save me,Earthquake
lift trapped after collapsed save us,Building Collapse
sir house flooed during cyclone quickly,Storm
bedroom is completely floded,Flood
help building may fall down now,Earthquake
heavy wind becoming stronger,Storm
quick help! gas leak in the kitchen now,Gas Leak
ambulance needed immediately save us,Road Accident
urgent fast! landslide,Landslide
emergency gas leak near restaurant,Gas Leak
please need rescue after earthquake,Earthquake
gas leaking from pipeline save me,Gas Leak
forest fire nearby,Fire
quick people injured by electric shock,Electrical Hazard
bro gaas leak near warehouse,Gas Leak
emergency gas leak immediately,Gas Leak
two cars crashed save us,Road Accident
gas leak caused fire fast,Fire
madam people injured in landslide,Landslide
chemical smell inside building,Gas Leak
gaas leakage detected please,Gas Leak
my father fainted,Medical
person is not breathing,Medical
madam power line snapped,Electrical Hazard
electrical short circuit caused fire save me,Fire
curtains caught frie,Fire
save trapped people fast,Landslide
urgent earth sliding down,Landslide
fire in neighbour house immediately,Fire
sir truck lost control,Road Accident
my mother fall downd save me,Medical
electric board caught fire fast,Fire
please urgent! building building felld,Building Collapse
quick vehicle overturned,Road Accident
help live wire on the road,Electrical Hazard
road cracked after earthquake now,Earthquake
fast save us! electric shock,Electrical Hazard
broken leg after fall fast,Medical
car accident on the highway,Road Accident
please power lines are down,Storm
sir gas smell becoming stronger,Gas Leak
need emergency doctor,Medical
please help! road accident quickly,Road Accident
road cracked after earthshake please,Earthquake
do not know where current is coming from now,Electrical Hazard
urgent kitchen caught fire,Fire
building shaking and collapsing fast,Building Collapse
high voltage danger save me,Electrical Hazard
help kitchen full of smoke,Fire
pls school building shaking,Earthquake
pls roof is cracking,Earthquake
bro broken leg after fall quickly,Medical
madam our house is under water,Flood
save us! my kitchen is burning,Fire
save us! building shaking,Earthquake
please children trapped in floo,Flood
kitchen caught fie,Fire
need immediate assistance please,Gas Leak
please huge landslide occurred,Landslide
urgent possible gaas leak,Gas Leak
urgent cannot brethe properly,Medical
mud everywhere,Landslide
help electricity leaking,Electrical Hazard
current passing through gate save me,Electrical Hazard
bro transformer exploded,Fire
patient lost consciousness now,Medical
pls our house is under water,Flood
cannot breathe properly,Medical
everyone is panicking now,Earthquake
bro we climbed to terrace,Flood
truck caught fire,Fire
gass cylinder is leaking save me,Gas Leak
please help! building collapsed,Building Collapse
sir electric meter burning,Electrical Hazard
electrical short circuit caused fie,Fire
please live cable exposed,Electrical Hazard
electrical disaster,Electrical Hazard
people feeling dizzy because of gas please,Gas Leak
pls telephone poles collapsedd,Storm
pls person trapped under vehicle,Road Accident
emergency the ground is shaking,Earthquake
help need rescue after earth quack,Earthquake
urgent need ambulance after accident save me,Road Accident
help building may collapse now,Earthquake
major collision immediately,Road Accident
road blocked by fall downd building,Building Collapse
quick transformer exploded please,Fire
pls our apartment is burning,Fire
madam driver unconscious after accident,Road Accident
people evacuated from village,Storm
fast firee after explosion please,Fire
live wire near school immediately,Electrical Hazard
help help accident victims immediately,Road Accident
bro houses damaged by cyclone save me,Storm
urgent! house collapsed,Building Collapse
storm water flooded road save me,Flood
sir lights are swinging save us,Earthquake
bridge building felld due to flod,Flood
please road blocked by building felld building,Building Collapse
quick gas pipe is leaking,Gas Leak
people feeling dizzy because of gass,Gas Leak
school building shaking,Earthquake
please earth moving continuously immediately,Earthquake
kitchen filled with gas smell,Gas Leak
pls children trapped inside burning house,Fire
pls car rolled over now,Road Accident
help our colony is flooded,Flood
vehicles trapped under rocks save us,Landslide
family trapped in landslide,Landslide
kitchen caught fir,Fire
please help! house collapsed fast,Building Collapse
cannot come out because building building felld,Building Collapse
sir kitchen unsafe because of gaas,Gas Leak
fast need emergency shelter,Storm
madam transformer exploded,Fire
sir cannot stay inside because of gas smell,Gas Leak
car fell into ditch quickly,Road Accident
help possible explosion due to gas now,Gas Leak
please gas smell everywhere,Gas Leak
heavy rain flooded our street save us,Flood
emergency strong lpg smell from kitchen,Gas Leak
urgent office electrical emergency,Electrical Hazard
emergency fast! building collapsed immediately,Building Collapse
madam people trapped inside building immediately,Fire
thick smoke coming out now,Fire
fire reached second floor save us,Fire
toxic gass smell,Gas Leak
high speed winds everywhere save me,Storm
madam person is not breathing,Medical
need help immediately! fire in my bedroom,Fire
madam children trapped inside burning house,Fire
urgent hissing sound from gass cylinder,Gas Leak
quick gas leak in apartment,Gas Leak
bro children trapped in flood,Flood
emergency current coming through water fast,Electrical Hazard
bro wire sparking now,Electrical Hazard
save us! floods water entered our apartment,Flood
apartment building collapsedd,Building Collapse
madam fast! strong gas smell save us,Gas Leak
please people stranded on rooftop,Flood
huge flames in factory,Fire
urgent earth is moving save me,Earthquake
please danger of another landslide save me,Landslide
fast need help gaas leak,Gas Leak
power line broken now,Electrical Hazard
kitchen filled with gas smell please,Gas Leak
road cracked after earth moving,Earthquake
cars floating in water,Flood
madam power line broken immediately,Electrical Hazard
need help immediately! current leakage,Electrical Hazard
quick cannot come out because building collapsed,Building Collapse
kitchen full of smkoe now,Fire
apartment building building felld,Building Collapse
communication lost after heavy wind save me,Storm
factory is burning save me,Fire
old building building felld,Building Collapse
emergency accident due to heavy rain,Road Accident
heavy tremors felt immediately,Earthquake
vehicle caught firee after crash,Road Accident
emergency person had a seizure,Medical
landslide getting worse quickly,Landslide
water coming inside house,Flood
bro building damaged by wind,Storm
rocks falling from hill immediately,Landslide
bridge damaged after earth quack save us,Earthquake
truck caught firee please,Fire
cylinder valve is leaking,Gas Leak
gaas smell becoming stronger,Gas Leak
emergency broken arm after accident,Medical
patient cannot walk now,Medical
heavy rain and thunderheavy wind,Storm
pole may fall,Electrical Hazard
emergency power cable broken,Electrical Hazard
entire area under water immediately,Flood
factory electrical accident now,Electrical Hazard
madam fire spreading quickly,Fire
sir electricity leaking save us,Electrical Hazard
please residents trapped save me,Landslide
sir aftershock happened,Earthquake
save us! need ambulance,Medical
urgent road disappeared under water,Flood
sir gaas leak caused fire,Fire
pls flying debris everywhere quickly,Storm
please please send emergency team save us,Gas Leak
roads blocked because of flood fast,Flood
quick need emergency shelter,Storm
stairs blocked by frie,Fire
earth is moving fast,Earthquake
strong vibrations everywhere fast,Earthquake
please building failure occurred,Building Collapse
please accident happened just now,Road Accident
bro bedroom is completely floodsed,Flood
urgent roof flew away,Storm
everyone is panicking save us,Earthquake
patient lost consciousness,Medical
everyone evacuated because of gass save us,Gas Leak
madam wind storm damaged our house,Storm
tree fell on our house fast,Storm
need help immediately! heavy storm,Storm
gaas leak near restaurant,Gas Leak
need emergency shelter,Storm
bike is burning,Fire
emergency stairs are damaged,Earthquake
roof caught fire quickly,Fire
pls tree fell on our house,Storm
help flod everywhere,Flood
need ambulance after accident,Road Accident
madam storm damaged our house fast,Storm
elderly person collapsed now,Medical
children injured in accident immediately,Road Accident
fuel leaking from vehicle,Road Accident
please help us before explosion,Gas Leak
our colony is flooded,Flood
bridge damaged after earthquake,Earthquake
quick many vehicles stranded,Landslide
truck collided with a bus,Road Accident
water reached roof level save me,Flood
help house developed huge cracks quickly,Earthquake
people injured by electric shock,Electrical Hazard
gas leak in factory quickly,Gas Leak
pls roof caught fire,Fire
pls ambulence has not arrived please,Medical
people trapped after landslide,Landslide
wire caught frie,Fire
rocks covering highway please,Landslide
bridge partially collapsed,Building Collapse
fast bike accident near the junction fast,Road Accident
bridge collapsed due to floods,Flood
hospital building shaking save me,Earthquake
truck lost control quickly,Road Accident
fast need rescue urgently,Building Collapse
urgent bridge damaged by landslide,Landslide
huge flames in kitchen please,Fire
please help! gas leak in the kitchen,Gas Leak
urgent! earthquake immediately,Earthquake
kitchen caught fie save me,Fire
help door is shaking,Earthquake
serious head injury immediately,Medical
sir stairs blocked by fire,Fire
roads blocked because of flood save me,Flood
warehouse caught firee,Fire
cannot stop the gas leak fast,Gas Leak
multiple vehicles collided save us,Road Accident
please plastic burning smell,Fire
urgent dangerous gas smell,Gas Leak
madam wire touching the ground,Electrical Hazard
sir cyclone warning issued,Storm
fast! electric shock now,Electrical Hazard
roof is cracking save us,Earthquake
rocks covering highway quickly,Landslide
urgent possible stroke,Medical
help electrical accident occurred please,Electrical Hazard
transformer making loud noise,Electrical Hazard
quick gas leak near restaurant,Gas Leak
madam landslide after heavy rainfall,Landslide
staircase collapsed,Building Collapse
building disaster please,Building Collapse
gas is coming from the stove immediately,Gas Leak
bro ambulance has not arrived,Medical
sir gass leak in factory immediately,Gas Leak
please cannot breathe because of smoke immediately,Fire
madam gass leak in factory now,Gas Leak
help accident victims quickly,Road Accident
medicine overdose immediately,Medical
madam petrol bunk caught fie,Fire
quick ceiling collapsed now,Building Collapse
help curtains caught fire,Fire
our building is unsafe,Earthquake
fast need ambulence after accident,Road Accident
severe chest pain,Medical
madam heart patient building felld,Medical
people injured in landslide fast,Landslide
help person swallowed poison,Medical
hospital caught fie fast,Fire
emergency due to cyclone quickly,Storm
objects falling down now,Earthquake
hill collapsing save us,Landslide
ceiling is cracking immediately,Earthquake
part of the building collapsed,Building Collapse
gaas leak in apartment,Gas Leak
multiple vehicles collided now,Road Accident
quick floor is vibrating,Earthquake
bro houses collapsing due to landslide,Landslide
fast people feeling dizzy because of gas,Gas Leak
madam my father fainted immediately,Medical
medicine overdose save me,Medical
road cracked after earthshake,Earthquake
road full of damaged vehicles,Road Accident
cannot go outside because of floods,Flood
ac unit caught fie,Fire
ac unit caught frie,Fire
shopping mall caught fire immediately,Fire
switchboard caught fire please,Electrical Hazard
urgent! heavy storm,Storm
people trapped inside car please,Road Accident
quick dangerous hillside movement,Landslide
industrial gas leak,Gas Leak
pls people feeling dizzy because of gas,Gas Leak
urgent accident victim needs medical emergency help please,Medical
suspected gas cylinder failure please,Gas Leak
pls burn injuries need treatment,Medical
quick! current leakage,Electrical Hazard
children inside during gaas leak,Gas Leak
help gas leaking continuously,Gas Leak
warehouse caught fir,Fire
driver unconscious after accident,Road Accident
please water reached roof level quickly,Flood
please heart patient collapsed,Medical
emergency possible gas leak please,Gas Leak
high voltage wire down save us,Electrical Hazard
heavy smok from school,Fire
pole may fall fast,Electrical Hazard
people stranded on rooftop please,Flood
bus stand is completely flooded,Flood
very strong winds outside immediately,Storm
help gaas smell everywhere,Gas Leak
ac unit caught fire immediately,Fire
fast ambulance has not arrived,Medical
glass windows broke fast,Earthquake
school building caught fire fast,Fire
please high fever and unconscious,Medical
bike is burning please,Fire
shopping mall caught frie,Fire
pls emergency landslide,Landslide
hospital ward caught frie now,Fire
houses collapsing due to landslide quickly,Landslide
someone is unconscious quickly,Medical
gas leak after cylinder burst now,Gas Leak
sparks everywhere save me,Electrical Hazard
please send rescue teams,Storm
please send health emergency team now,Medical
fast rescue teams required now,Landslide
sir gass leakage detected quickly,Gas Leak
pls urgent! house collapsed quickly,Building Collapse
madam our ceiling is burning,Fire
forest firee nearby now,Fire
main entrance blocked by debris immediately,Building Collapse
help shopping mall caught fire,Fire
gass smell everywhere,Gas Leak
help us before explosion save us,Gas Leak
please send medical emergency team,Medical
emergency kitchen unsafe because of gas,Gas Leak
kitchen caught frie,Fire
fast children crying due to flood,Flood
lift trapped after collapse fast,Building Collapse
quick everything is shaking save us,Earthquake
everything is burning,Fire
ambulnce needed immediately,Road Accident
petrol bunk caught fire fast,Fire
need help immediately! fire in my college,Fire
people trapped after earthquake please,Earthquake
quick accident on bridge,Road Accident
bridge damaged after earthshake please,Earthquake
person is not breathing fast,Medical
bridge damaged after earthquake fast,Earthquake
mountain road building felld,Landslide
gas cylinder is leaking,Gas Leak
save us! medical emergency save me,Medical
quick dangerous gas smell,Gas Leak
ceiling building felld,Building Collapse
pls vehicles washed away,Flood
building cracking badly,Building Collapse
fast person had a seizure please,Medical
electrical short circuit caused fire now,Fire
school building caught fir,Fire
sir concrete fell from roof,Building Collapse
emergency help building may collapse save me,Earthquake
cannot brethe because of smoke quickly,Fire
mudslide blocking road save me,Landslide
pls power lines are down,Storm
building fall downd after earthquake,Building Collapse
quick! house collapsed,Building Collapse
quick rocks covering highway,Landslide
we climbed to terrace now,Flood
madam need rescue urgently,Building Collapse
accident happened just now now,Road Accident
the ground is shaking,Earthquake
live wire on the road save me,Electrical Hazard
electric wire fell on vehicle quickly,Electrical Hazard
pls my mother collapsed,Medical
electrical emergency fast,Electrical Hazard
factory electrical accident save us,Electrical Hazard
shopping mall caught fire please,Fire
gas pipe is leaking,Gas Leak
need food and water quickly,Flood
storm water flooed road immediately,Flood
dangerous hillside movement,Landslide
help people injured in landslide,Landslide
need immediate evacuation,Landslide
please houses damaged by falling rocks,Landslide
bridge damaged by wind storm,Storm
pls it feels like an earthquake,Earthquake
vehicle caught fie,Fire
room is filled with smoke,Fire
heavy smoke from kitchen,Fire
please car hit a tree,Road Accident
construction building collapsedd,Building Collapse
pls cannot reach village,Landslide
fast bridge damaged by strom,Storm
emergency building fall down save me,Building Collapse
help child is unconscious fast,Medical
pls car accident on the highway,Road Accident
emergency electric pole has fallen please,Electrical Hazard
please our belongings are floating,Flood
bridge inaccessible,Landslide
fast sewer water mixed with flood immediately,Flood
fast sewer water mixed with flood please,Flood
urgent gas cylinder exploded,Fire
please cannot go outside because of flood please,Flood
quick someone help! house collapsed,Building Collapse
need ambulans after accident please,Road Accident
help people trapped quickly,Building Collapse
roof flew away,Storm
electric board caught fie save us,Fire
someone help! need ambulans,Medical
my father fainted save us,Medical
please cannot move the injured save me,Road Accident
pls do not know where gaas is leaking,Gas Leak
quick live cable exposed,Electrical Hazard
cannot reach hospital because of floods,Flood
gass leak in apartment,Gas Leak
help switchboard caught frie,Electrical Hazard
pls ceiling fall downd,Building Collapse
emergency children trapped in flood immediately,Flood
please possible gass leak,Gas Leak
gaas regulator is leaking,Gas Leak
our apartment is burning now,Fire
need help immediately! road accident,Road Accident
roads blocked because of flood immediately,Flood
multiple vehicles collided quickly,Road Accident
blood pressure very low,Medical
bro cannot breathe properly,Medical
urgent family trapped inside collapsed house,Building Collapse
bro furniture shaking,Earthquake
bridge damaged after earth moving,Earthquake
boats needed immediately fast,Flood
quick! cyclone approaching save me,Storm
residents trapped fast,Landslide
power lines are down now,Storm
chemical smell inside building quickly,Gas Leak
walls have huge cracks now,Building Collapse
pls our building is unsafe,Earthquake
someone help! heavy heavy wind,Storm
black smkoe everywhere,Fire
storm becoming stronger quickly,Storm
our building is unsafe now,Building Collapse
power lines are down save us,Storm
kitchen full of smke,Fire
people feeling dizzy because of gass please,Gas Leak
power outage after explosion,Electrical Hazard
urgent hospital ward caught fire,Fire
need rescue after landslide please,Landslide
severe chest pain fast,Medical
our ceiling is burning save us,Fire
tree fell on our house save us,Storm
road washed away,Landslide
help possible gass leak,Gas Leak
switchboard caught fir,Electrical Hazard
fast our house is shaking,Earthquake
help! major accident,Road Accident
help diabetic patient unconscious,Medical
urgent! strong gas smell immediately,Gas Leak
vehicle caught fire after crash,Road Accident
bro patient is not responding,Medical
quick gas cylinder exploded save me,Fire
please passengers injured immediately,Road Accident
help industrial gaas leak fast,Gas Leak
pls aftershock happened fast,Earthquake
help floods everywhere,Flood
quick snake bite emergency,Medical
pls road completely blocked,Landslide
natural disaster landslide save us,Landslide
debris everywhere save us,Earthquake
pls strong earthquake felt,Earthquake
gass pipe is leaking,Gas Leak
pls gaas leaking from pipeline,Gas Leak
